,STN,WBAN,YEARMODA,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
926824,32620,99999,19310807,56.2,51.0,1009.6,9999.9,5.3,5.2,8.9,999.9,61.0,54.0,99.99,999.9,10000
928094,32620,99999,19380824,59.0,54.2,1018.5,9999.9,2.2,7.0,8.9,999.9,60.1,54.0,99.99,999.9,10000
105593,32620,99999,19910107,36.5,30.2,987.6,9999.9,17.6,12.7,18.1,999.9,40.3,33.8,0.08E,999.9,1000
589162,32620,99999,19940524,45.8,40.7,1015.6,9999.9,16.2,15.2,15.9,999.9,46.8,45.3,0.00A,999.9,0
606345,32620,99999,19310809,50.4,42.5,1010.2,9999.9,7.5,14.2,18.1,999.9,55.0,46.0,0.16E,999.9,10000
630280,32620,99999,19741206,48.6,44.6,1018.9,9999.9,13.0,17.0,21.0,999.9,51.8,46.4,0.12F,999.9,10000
150746,32620,99999,20010118,36.9,34.5,1020.2,9999.9,11.5,9.8,12.0,999.9,39.7,35.2,0.03E,999.9,11000
762411,32620,99999,19760617,54.6,50.5,1020.5,9999.9,6.0,9.0,15.0,999.9,60.8,50.0,0.04F,999.9,10000
1007418,32620,99999,19870629,62.9,60.4,1018.9,9999.9,14.1,6.5,12.0,999.9,68.9,57.2,0.10F,999.9,10000
294869,32620,99999,19300404,39.7,30.3,1007.0,9999.9,5.3,16.0,23.9,999.9,48.0,39.0,0.00I,999.9,0
188670,32620,99999,19940405,41.4,35.3,998.0,9999.9,20.0,17.5,25.1,999.9,46.6,36.1,0.02E,999.9,10000
562483,32620,99999,19870429,54.5,49.2,1016.2,9999.9,5.7,6.1,9.9,999.9,68.0,45.0,0.00D,999.9,0
73988,32620,99999,19840105,41.2,39.7,1012.1,9999.9,13.9,11.3,16.9,999.9,45.3,32.9,0.00D,999.9,0
785126,32620,99999,19940307,51.9,43.2,1008.9,9999.9,18.3,21.2,29.9,999.9,54.0,50.2,0.00D,999.9,0
577341,32620,99999,19291201,47.3,44.0,991.2,9999.9,3.1,4.3,5.1,999.9,51.1,45.0,99.99,999.9,10000
970414,32620,99999,19770902,58.8,49.3,1007.9,9999.9,13.9,10.2,15.0,999.9,62.6,55.4,0.00F,999.9,0
637583,32620,99999,19940609,53.6,44.6,1020.4,9999.9,19.8,19.0,29.9,999.9,60.4,46.6,0.06F,999.9,10000
926575,32620,99999,19910704,57.0,56.0,1029.4,9999.9,1.2,12.3,18.1,999.9,61.0,54.0,0.00E,999.9,100000
905131,32620,99999,19740915,57.7,54.0,1015.8,9999.9,4.5,12.1,15.9,999.9,62.6,53.6,0.00F,999.9,0
451659,32620,99999,19870514,43.5,41.7,1002.9,9999.9,13.7,16.3,25.1,999.9,46.8,42.3,0.24F,999.9,10000
548973,32620,99999,19801008,47.3,39.2,986.5,9999.9,19.3,21.4,25.1,999.9,51.8,44.6,0.00F,999.9,0
300331,32620,99999,19950511,42.8,35.0,1015.5,9999.9,21.0,17.1,20.0,999.9,44.6,39.0,0.00E,999.9,0
493408,32620,99999,19950323,49.5,36.1,1023.6,9999.9,9.7,5.9,20.0,999.9,56.1,43.2,0.00E,999.9,10000
1021831,32620,99999,19390901,60.3,59.0,1014.7,9999.9,1.4,8.0,8.9,999.9,66.0,57.9,0.00I,999.9,100000
90770,32620,99999,19880204,39.8,37.8,983.3,9999.9,7.2,9.0,18.1,999.9,44.8,33.6,0.20E,999.9,11000
774125,32620,99999,19750622,52.1,51.3,1033.2,9999.9,8.6,8.2,12.0,999.9,55.4,50.0,0.00F,999.9,110000
654844,32620,99999,19951018,51.9,42.1,1023.0,9999.9,20.2,12.3,20.0,999.9,57.7,47.1,0.00C,999.9,0
794955,32620,99999,19920819,61.6,45.6,1013.9,9999.9,18.7,6.5,9.9,999.9,77.0,50.9,0.00D,999.9,0
1036355,32620,99999,19840823,59.9,59.5,1011.5,9999.9,1.3,4.1,8.9,999.9,60.8,59.4,0.00D,999.9,100000
216361,32620,99999,19360413,40.8,37.0,1009.4,9999.9,8.0,17.1,18.1,999.9,43.0,37.0,99.99,999.9,11000
191307,32620,99999,19981124,43.4,40.3,1013.5,9999.9,4.1,10.8,22.0,999.9,48.4,36.3,0.12F,999.9,10000
161964,32620,99999,19861121,38.9,35.5,1005.9,9999.9,10.5,12.4,20.0,999.9,43.2,35.6,0.00D,999.9,0
239377,32620,99999,19761108,40.5,39.6,1000.1,9999.9,3.5,7.5,9.9,999.9,42.8,37.4,0.00F,999.9,100000
86624,32620,99999,19851110,36.6,28.8,1005.1,9999.9,17.4,26.5,44.9,66.0,42.1,33.3,0.16E,999.9,10000
896617,32620,99999,19810904,63.7,48.7,1026.0,9999.9,4.8,8.1,11.8,999.9,73.4,53.6,0.00F,999.9,0
1044150,32620,99999,19870817,63.8,62.4,1012.8,9999.9,13.0,6.3,9.9,999.9,65.7,62.1,0.22F,999.9,10000
440347,32620,99999,19351105,46.8,42.0,1000.6,9999.9,2.0,3.2,5.1,999.9,51.1,42.1,0.02E,999.9,100000
522269,32620,99999,19330512,48.2,43.0,1014.3,9999.9,4.3,4.3,5.1,999.9,51.1,44.1,99.99,999.9,10000
229527,32620,99999,19810318,42.8,32.9,1001.2,9999.9,16.9,15.8,22.9,999.9,48.2,37.4,0.00F,999.9,10000
994588,32620,99999,19910713,61.7,50.3,1008.4,9999.9,16.3,13.7,22.0,999.9,68.5,56.7,0.00D,999.9,0
56354,32620,99999,19320108,35.0,30.2,996.8,9999.9,4.7,5.8,8.9,999.9,44.1,32.0,0.00I,999.9,0
465265,32620,99999,19980613,49.7,44.6,1012.6,9999.9,14.9,6.9,13.0,999.9,51.8,42.8,0.00H,999.9,10000
648119,32620,99999,19320530,52.0,49.5,1017.3,9999.9,3.4,4.3,5.1,999.9,55.9,46.9,0.00I,999.9,0
562944,32620,99999,19350828,50.6,46.8,997.6,9999.9,6.0,6.6,8.9,999.9,62.1,45.0,0.00I,999.9,0
922705,32620,99999,19330616,58.5,53.2,1008.0,9999.9,4.3,6.8,18.1,999.9,64.9,54.0,99.99,999.9,10000
221179,32620,99999,19981104,39.6,35.5,1003.9,9999.9,17.9,12.9,20.0,999.9,44.6,37.2,0.04E,999.9,10000
454884,32620,99999,19840425,46.6,43.0,1031.8,9999.9,8.8,5.2,9.9,999.9,49.3,42.4,0.00D,999.9,0
390863,32620,99999,19890429,45.2,39.0,1019.3,9999.9,8.2,8.7,12.0,999.9,49.3,41.0,0.00F,999.9,10000
6325,32620,99999,19360205,32.5,30.2,1022.0,9999.9,1.2,5.1,5.1,999.9,36.0,26.1,0.00I,999.9,0
973651,32620,99999,19870713,57.5,56.7,1020.2,9999.9,8.9,12.8,20.0,999.9,59.2,55.4,0.00D,999.9,0
418207,32620,99999,19850512,43.8,41.0,1024.8,9999.9,12.8,17.9,25.1,999.9,45.0,41.2,0.00D,999.9,100000
16073,32620,99999,19730409,35.4,31.3,1019.1,9999.9,10.6,15.4,22.9,999.9,41.0,28.4,0.14F,1.2,11000
704959,32620,99999,19731103,50.9,49.5,1013.2,9999.9,1.3,10.1,20.0,999.9,51.8,48.2,0.00F,999.9,100000
